,precision,recall,f1-score,support
non-default,0.8326010544815465,0.8098290598290598,0.8210571923743502,4680.0
weighted avg,0.7342078280204682,0.7246666666666667,0.729124032017311,6000.0
accuracy,0.7246666666666667,0.7246666666666667,0.7246666666666667,0.7246666666666667
macro avg,0.608980085251823,0.6162781662781662,0.6121181915628976,6000.0
default,0.38535911602209943,0.42272727272727273,0.4031791907514451,1320.0
